Player,Match,Balls Faced,Wickets,Runs,Balls Bowled,Maiden Overs,Fours,Sixes
L Siaka (PNG),26,22,2,296,271,4,26,7
Kamran Khan (QAT),14,14,1,295,220,0,26,17
R Mutumbami (ZIM),22,19,4,294,251,1,19,15
B Bhandari (NEPAL),27,23,6,292,262,1,23,12
CA Lynn (AUS),18,16,1,291,221,1,28,14
HDRL Thirimanne (SL),26,20,2,291,267,1,27,5
AN Kervezee (NL),10,10,1,289,262,0,19,6
DS Airee (NEPAL),18,16,2,287,260,0,22,6
IA Karim (KENYA),16,16,3,286,299,2,30,2
A Bagai (CAN),9,9,2,284,249,0,27,0
Mohammad Shahzad (UAE),20,20,2,281,239,2,25,11
TC Bruce (NZ),15,15,2,279,222,0,24,7
SO Hetmyer (WI),20,18,1,279,223,2,19,17
TAM Siriwardana (SL),22,19,3,275,208,4,16,12
AC Gilchrist (AUS),13,13,1,272,192,0,27,13
Amjad Javed (UAE),22,18,3,271,242,1,17,15
MV Boucher (SA),25,21,6,268,275,0,22,2
Ravinderpal Singh (CAN),12,10,2,266,177,1,13,19
PK Matautaava (VAN),10,10,0,265,156,2,19,20
SR Taylor (USA),8,8,1,265,207,1,28,10
MJ Santner (NZ),39,27,10,263,205,3,22,7
Imad Wasim (PAK),41,29,9,261,180,6,28,7
DMW Rawlins (BMUDA),11,11,0,261,201,1,23,15
Adnan Idrees (KUW),6,6,0,259,157,0,35,9
T Taibu (ZIM),17,15,6,259,257,2,19,2
Adnan Ilyas (OMAN),12,11,0,258,218,0,16,8
Najeeb Tarakai (AFG),12,12,0,258,210,1,21,13
DM de Silva (SL),13,13,0,257,252,0,18,4
Manpreet Singh (SGP),12,12,1,255,222,0,15,5
SE Marsh (AUS),15,15,1,255,248,2,15,10
RP Burl (ZIM),16,13,3,254,221,0,16,10
HE van der Dussen (SA),9,8,0,254,192,1,14,12
Waqas Barkat (HKG),22,20,2,254,286,2,20,0
SF Mire (ZIM),9,8,0,253,196,0,23,13
GH Dockrell (IRE),73,33,14,251,207,4,14,7
DT Johnston (IRE),30,19,7,249,184,1,13,11
RV Uthappa (INDIA),13,12,2,249,211,1,26,6
CG Williams (NAM),13,12,3,249,210,1,15,10
JP Kotze (NAM),12,12,1,245,193,1,21,13
Mohamed Rishwan (Mald),11,10,0,245,245,0,22,10
CN Ackermann (NL),11,11,3,243,196,0,18,5
Muhammad Kashif (KUW),10,9,4,242,215,0,14,13
UT Khawaja (AUS),9,9,0,241,182,0,31,5
MA Leask (SCOT),31,22,2,240,199,2,16,12
SW Poynter (IRE),25,21,6,240,213,0,22,6
Aizaz Khan (HKG),30,27,7,239,234,4,19,4
MS Wade (AUS),26,17,5,239,218,0,11,9
Ashfaq Ahmed (UAE),12,12,0,238,185,2,32,6
SD Hope (WI),13,11,0,238,175,1,24,10
J Mubarak (SL),16,15,4,238,188,2,21,8
Khalid Latif (PAK),13,13,2,237,229,1,25,6
RE Levi (SA),13,13,2,236,167,3,20,15
YK Pathan (INDIA),22,18,5,236,161,3,11,17
MM Ali (ENG),25,22,6,235,198,6,21,9
F Damiao Couana (Moz),7,7,1,233,179,0,16,14
ES Szwarczynski (NL),14,12,1,233,243,0,22,2
HT Tector (IRE),14,12,3,233,176,0,20,5
BA Stokes (ENG),23,20,5,232,178,1,20,9
H Gori (CZK-R),7,7,0,231,176,0,23,12
JF Mooney (IRE),27,23,9,231,214,0,25,1
AR Cusack (IRE),37,21,6,229,177,1,17,6
Mohammed Rizlan (QAT),15,12,5,229,218,0,14,10
Aftab Ahmed (BDESH),11,11,1,228,178,0,26,6
T Mishra (KENYA),15,15,0,227,263,2,15,4
Rahmanullah Gurbaz (AFG),7,7,0,227,164,2,19,13
C Bisson (JER),14,14,2,226,177,3,24,5
SS Iyer (INDIA),14,13,3,226,178,1,18,9
I Udana (SL),27,19,9,226,152,2,15,13
DAS Gunaratne (SL),12,12,3,225,178,2,19,6
Inam-ul-Haq (QAT),11,11,2,225,205,1,28,2
GSNFG Jayasuriya (SL),16,14,0,225,203,0,17,8
Shafiq Sharif (MAL),10,10,0,225,171,2,32,5
MN van Wyk (SA),8,7,1,225,157,0,19,14
CAK Walton (WI),19,17,0,225,203,5,23,11
DG Blampied (JER),17,15,6,221,222,1,14,0
Sohaib Maqsood (PAK),20,18,2,221,201,2,15,8
H Patel (CAN),11,11,1,220,218,2,19,2
TG Southee (NZ),66,30,12,220,150,4,14,15
AD Poynter (IRE),19,14,3,219,184,1,21,8
Tanwir Afzal (HKG),21,18,2,219,173,4,9,15
TT Bresnan (ENG),34,22,9,216,170,3,16,6
CJ Jordan (ENG),43,25,11,216,166,2,16,11
DO Obuya (KENYA),10,10,2,216,228,1,22,4
MJG Rippon (NL),18,11,4,216,192,2,15,3
KMDN Kulasekara (SL),58,30,9,215,184,4,14,7
EMDY Munaweera (SL),13,13,1,215,164,1,25,7
B Ward (JER),13,12,3,215,160,1,8,15
S Prasanna (SL),20,20,6,214,161,0,13,13
S Wickramasekara (CZK-R),5,5,2,214,104,0,17,19
RG Aga (KENYA),20,18,2,213,196,0,15,5
Haroon Arshad (HKG),10,10,3,211,154,0,15,7
Haris Sohail (PAK),14,13,2,210,204,1,16,3
CA Ingram (SA),9,9,1,210,162,1,23,7
Khurram Nawaz (OMAN),18,13,3,210,179,0,11,10
Bilal Zalmai (Aut),5,4,1,208,109,0,16,16
Ghulam Shabber (UAE),17,14,3,208,182,0,24,4
BBJL Perera (ITA),8,7,1,208,144,0,23,8
BMAJ Mendis (SL),22,15,4,207,174,1,18,6
JJ Smit (NAM),12,10,2,206,128,0,10,14
DL Vettori (NZ),34,22,6,205,190,3,14,2
JM Kemp (SA),8,7,3,203,160,0,17,10
DS Smith (WI),6,6,0,203,161,0,22,5
Ahmed Faiz (MAL),10,10,1,202,179,0,14,6
JJ Atkinson (HKG),13,12,0,202,187,3,22,6
R Gunasekera (CAN),8,8,0,202,188,0,23,4
J Botha (SA),40,20,9,201,165,1,15,9
J Butler (GUE),9,8,1,201,214,0,20,1
KS Leverock (BMUDA),12,12,2,201,165,3,16,11
DM Gondaria (KENYA),11,9,2,199,157,0,12,6
R Panchal (ESP),9,8,3,199,185,0,9,7
Sompal Kami (NEPAL),28,19,6,198,176,1,15,7
Sohail Tanvir (PAK),57,25,8,196,164,2,16,9
Yasir Ali (ESP),9,9,3,196,183,1,11,9
Aarif Sheikh (NEPAL),11,10,2,194,181,0,18,4
Fawad Alam (PAK),24,17,6,194,169,1,7,7
Asad Shafiq (PAK),10,10,0,192,185,0,19,2
S Davizi (CZK-R),2,2,0,192,133,0,14,10
